Month,Total Revenue Generated,Total Cost,Total Profits,Bench Budget Consumption,Total Possible Business Value (attrition and demand),Total Captured Business Value (attrition and demand),Total Lost Business Value (attrition and demand),Possible Business Value (through new demand),Captured Business Value (through new demand),Lost Business Value (through new demand),Possible Business Value (replacing resignations),Captured Business Value (replacing resignations),Lost Business Value (replacing resignations)
1,8609400,6735605,1873795,182895,316800,111600,205200,171000,23400,147600,145800,88200,57600
2,8527500,6623265,1904235,132890,435600,61200,374400,292500,23400,269100,143100,37800,105300
3,8629200,6717110,1912090,149330,557100,243000,314100,415800,118800,297000,141300,124200,17100
4,8798400,6920555,1877845,223995,389700,298800,90900,260100,173700,86400,129600,125100,4500
5,8845200,7208940,1636260,476760,237600,190800,46800,93600,53100,40500,144000,137700,6300
6,9143100,7376765,1766335,417850,433800,432000,1800,299700,299700,0,134100,132300,1800
7,9431100,7430880,2000220,252765,473400,437400,36000,324000,292500,31500,149400,144900,4500
8,9639900,7517875,2122025,180840,477000,350100,126900,335700,217800,117900,141300,132300,9000
9,9956700,7715155,2241545,137000,518400,467100,51300,368100,318600,49500,150300,148500,1800
10,10326600,7984360,2342240,124670,547200,513000,34200,404100,373500,30600,143100,139500,3600
11,10613700,8192600,2421100,114395,453600,447300,6300,293400,287100,6300,160200,160200,0
12,10656000,8220000,2436000,109600,329400,202500,126900,169200,42300,126900,160200,160200,0
